Sample for t = 0.0
parameter = [0.16555910257752462] likelihood = -221674167.82578343
parameter = [0.2835297201091058] likelihood = -75582983.33375685
parameter = [0.11645541364982477] likelihood = -448024601.32075536
parameter = [0.24574180267449522] likelihood = -100615091.29912096
parameter = [0.36762978517751355] likelihood = -44957262.172202654
parameter = [0.3651416216857113] likelihood = -45572048.93408515
parameter = [0.10778638573693228] likelihood = -522990030.53290683
parameter = [0.21639456162015355] likelihood = -129756320.65473594
parameter = [0.3293650254022144] likelihood = -56010088.49186731
parameter = [0.26635995730432954] likelihood = -85641316.15134072
parameter = [0.2859822283615476] likelihood = -74292182.51170877
parameter = [0.30740080833407996] likelihood = -64300034.02894187
parameter = [0.48631545853842734] likelihood = -25691247.101500146
parameter = [0.3083255852758412] likelihood = -63914895.65050556
parameter = [0.2573119409357224] likelihood = -91770125.17135188
parameter = [0.15136418930512754] likelihood = -265200866.61126044
parameter = [0.35622327957449784] likelihood = -47882479.938727625
parameter = [0.257936404961972] likelihood = -91326312.12658258
parameter = [0.22585129658959693] likelihood = -119117625.97252712
parameter = [0.14540437913279855] likelihood = -287386422.46379703
parameter = [0.12071253743112162] likelihood = -416981192.7941327
parameter = [0.0875774652934542] likelihood = -792203017.7509092
parameter = [0.12167528334276971] likelihood = -410408637.79057014
parameter = [0.1254864284638624] likelihood = -385858175.5903399
parameter = [0.1880470380099361] likelihood = -171825737.06824705
parameter = [0.13982205104295284] likelihood = -310792037.2146269
parameter = [0.3558353850701925] likelihood = -47986929.75662116
parameter = [0.13720518985241092] likelihood = -322760323.9878205
parameter = [0.03992857875638489] likelihood = -3811128088.4651494
parameter = [0.0630140096909685] likelihood = -1530195822.4858842
