Sample for t = 0.0
parameter = [0.14571431120910458] likelihood = -286165189.6540132
parameter = [0.20853096872162516] likelihood = -139726919.8413307
parameter = [0.27381517230196123] likelihood = -81041260.78678265
parameter = [0.11851348339873549] likelihood = -432599187.6444416
parameter = [0.19659720803928843] likelihood = -157205058.51340547
parameter = [0.1656056187366725] likelihood = -221549655.34598058
parameter = [0.1386447556205417] likelihood = -316092598.96758246
parameter = [0.30174010231093606] likelihood = -66735227.48740344
parameter = [0.28294646691598974] likelihood = -75894911.24760576
parameter = [0.11875651546506683] likelihood = -430830393.74332154
parameter = [0.12815562407132258] likelihood = -369952429.5209368
parameter = [0.2131838828976322] likelihood = -133694170.27053134
parameter = [0.15022608913925944] likelihood = -269234366.5965968
parameter = [0.3471529879550153] likelihood = -50417279.94713973
parameter = [0.16071888318706504] likelihood = -235227126.47453955
parameter = [0.39830625406851883] likelihood = -38298962.00761281
parameter = [0.04979275647201185] likelihood = -2450692989.9504766
parameter = [0.09571261879603983] likelihood = -663258515.6729352
parameter = [0.041099591484039646] likelihood = -3597048043.594201
parameter = [0.06804971887898859] likelihood = -1312104939.6441102
parameter = [0.05116956636072453] likelihood = -2320586562.3210583
parameter = [0.07955688085543039] likelihood = -959987863.5558432
parameter = [0.10528741059898172] likelihood = -548110775.582385
parameter = [0.31210977421218555] likelihood = -62374413.547099054
parameter = [0.09144933298876189] likelihood = -726541037.7219937
parameter = [0.3272705105864436] likelihood = -56729306.036414824
parameter = [0.25001975966457457] likelihood = -97201404.1119352
parameter = [0.43164254959938325] likelihood = -32611650.720926635
parameter = [0.22458243198081565] likelihood = -120467429.82080409
parameter = [0.14904177399824112] likelihood = -273530144.8523548
parameter = [0.1355609179547033] likelihood = -330637584.3504488
parameter = [0.13520691536684304] likelihood = -332371220.4213765
parameter = [0.12499760737531121] likelihood = -388881984.2750839
parameter = [0.16849273172324736] likelihood = -214022222.92975926
parameter = [0.4145183507088741] likelihood = -35361749.526362844
parameter = [0.07862050998923785] likelihood = -982990962.198047
parameter = [0.040697760826725736] likelihood = -3668429848.8787823
parameter = [0.03104528660770057] likelihood = -6304198858.4293995
parameter = [0.126023870544941] likelihood = -382574127.27289796
parameter = [0.18980761874405222] likelihood = -168652944.54717374
parameter = [0.31406778485862474] likelihood = -61599109.23816766
parameter = [0.37342626441069854] likelihood = -43572403.74673401
parameter = [0.09969630157389818] likelihood = -611312303.262404
parameter = [0.1618892336596015] likelihood = -231838351.652786
parameter = [0.03739394956339588] likelihood = -4345288076.297625
parameter = [0.05849771749276442] likelihood = -1775592911.2870197
parameter = [0.07441651511804613] likelihood = -1097191874.3173637
parameter = [0.2761780702332287] likelihood = -79660462.92236154
parameter = [0.07858831724034615] likelihood = -983796467.7673514
parameter = [0.0658101980252045] likelihood = -1402926267.5278234
parameter = [0.09835600942856518] likelihood = -628086461.6220291
parameter = [0.5236525696914541] likelihood = -22158221.79599889
